,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,适宜人群,装修描述,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
511,业主诚心出售，精装修，格局通透，交通便捷。,75万,12428,钟楼区五星,城置御水华庭二期,1室1厅1厨1卫,低楼层 (共20层),60.35㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯十九户,有,暂无数据,2023-04-04,商品房,2012-12-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,御水华庭二期， 朝南， 带阳台的， 高楼层， 采光好,,,,,,,位于钟楼区与城市区交汇处。北面劳动西路，南靠勤业路，交通便利。地铁口距离900米,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,
512,花园新村 边户明厨 楼层好 南北通风,60万,10450,钟楼区五星,花园新村,2室1厅1厨1卫,低楼层 (共6层),57.42㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-07-27,商品房,2020-07-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房楼层好，采光充足，交通便利，配套设施齐全。,区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,小区成熟，公园，地铁，上学，商场，天街，医院近在咫尺，工作生活便利。 五星公园，地铁二号线，龙湖天街，宝龙广场 ，妇幼保健医院。,,,,,,,,,,,
513,龙湖天街旁 平岗旁 精装 全天采光 随时看房 诚售,125万,14255,钟楼区五星,城置御水华庭,2室2厅1厨1卫,高楼层 (共33层),87.69㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-18,商品房,2018-09-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置佳，绿化好，居民素质高，有健身器材，活动场所，建有地上停车场和地下停车库，停车位充足，二十四保安巡逻，菜场，便利店，商场，银行等配套设施齐全，生活方便快捷,"1.	税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，公交258，39路，Y1和B23，龙湖天街和大润发,,,,,,,042454427715,户型方正.采光充足 交通便利.配套齐全，合适居住,,,,
514,店长推荐：新城地产+物业。地理位置佳。价格美丽,58万,10608,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,中楼层 (共21层),54.68㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯五十一户,有,暂无数据,2022-06-27,商品房,2020-07-09,商住两用,暂无数据,共有,无抵押,已上传房本照片,房屋户型方正，70年产权，价格美丽，交通便利,小区的商圈是成熟商圈，配套设施齐全。小区旁就有菜市场，在小区楼下就有银行,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%",,,,,此房的面积不大，总价不是很高，开发商精装修，适合单身青年和年轻夫妻：房子的位置很好，也比较适合在市里工作的白领和退休后的人群,,,,民水,民电,,
515,优质户型 采光好，通透格局，实用率大，交通方便。,53万,9398,钟楼区五星,花园新村,2室1厅1厨1卫,高楼层 (共4层),56.4㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-05-30,商品房,2018-03-05,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,优质户型 采光好，通透格局，实用率大，交通方便。,,,契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税。,荆川公园 清潭菜场 华联卖场 新怡卖场，中国银行 建设银行 海王星辰药店 永红医院 激光医院 三鲜美食城等,,此房房东诚心出售，产证齐全，产权清晰，房子里无贷款抵押，可以随时过户。,,,,,,,,,
516,凯纳商务广场好房低价出售，位置好,48万,10900,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,低楼层 (共60层),44.04㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,六梯二十三户,有,暂无数据,2023-11-15,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,装 修 好， 无 抵 押， 满 2 年，出行方便,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,处于关河路和通江路的交接处，19条公交线路可以到，三公里内有常州火车站，龙城高架,年轻人，可以作为首套过渡房；中老年人可以作为，养老房；外地户口可以入驻常州；家中有适龄儿童的可以上西新桥的幼儿园等学 校,,,,民水,民电,2.45元/m3,
517,两开间朝南，优质户型，格局好，采光好,50万,9579,钟楼区五星,花园新村,2室1厅1厨1卫,低楼层 (共6层),52.2㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,无,暂无数据,2023-06-28,商品房,2021-02-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，采光充足，交通便利，配套设施齐全。,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,小区成熟，公园，地铁，上学，商场，天街，医院近在咫尺，工作生活便利。 五星公园，地铁二号线，龙湖天街，宝龙广场 ，妇幼保健医院。,,,,,,,,,,,
518,凯纳广场    看房方便房东诚心出售,42万,10698,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,高楼层 (共60层),39.26㎡,平层,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2022-11-08,商品房,2016-12-10,商住两用,暂无数据,共有,有抵押 32万元 银行 业主自还,已上传房本照片,房东直售凯纳二手房 70年产权 西新桥旁  开发商精装,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,距BRT站台B1、B10、B12直线距离200米 通江路往南吾悦国际广场3公里，往北万达广场3公里 菜场：西新桥菜场800米 医院：一院二院3公里，小区有招商银行，中国银行，西新桥菜场，万达 吾悦,,,,,民水,民电,2.45元/m3,
519,此房满5年，一居室户型，精装，业主诚心出售,60万,13369,钟楼区五星,新城首府国际公寓,1室0厅1厨1卫,低楼层 (共21层),44.88㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯五十户,有,暂无数据,2023-05-15,商品房,2012-03-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满5年，一居室户型，精装，业主诚心出售,,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。位置好。,,,,,"装修描述：
开发商统一装修！比较实用舒适！精致装修。满足不同人群的需求！",,,,,,
520,花园新村 楼层好 采光好 低总价,58万,10584,钟楼区五星,花园新村,2室1厅1厨1卫,高楼层 (共5层),54.8㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,暂无数据,无,暂无数据,2023-08-23,商品房,2020-06-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,花园新村 楼层好 采光好 低总价,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
521,花园西村东区 2室1厅 南 北,68万,10724,钟楼区五星,花园西村东区,2室1厅1厨1卫,高楼层 (共6层),63.41㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-07-28,商品房,2019-04-26,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,,
522,龙湖龙誉城紫宸，品牌物业，龙湖天街旁，地T口,178万,20023,钟楼区五星,龙湖龙誉城紫宸,3室2厅1厨1卫,低楼层 (共31层),88.9㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯四户,有,暂无数据,2023-11-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元,未上传房本照片,"此房满五唯一，格局好,南北通风户型,户型方正，明厨明卫","小区环境优美,舒适安静适宜居住,出门即有公交菜场,银行商场美食等人文素养 好,乐于助人,相处和谐",,"1、首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%；2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯一套住房，免收个税，未满5年成交价的1%","配套五星公园,出门就是,晚饭过后可以散步,楼下就是蓝天美食一条街,各种美食 一应具有,小区门口就有公交站台和共享单车,出行方便欧尚300米左右和龙 湖天街",,,,,,,,,,,
523,新城国际 小户型 房东改装 中间楼层 欢迎看房,50万,12072,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,中楼层 (共21层),41.42㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯五十二户,有,暂无数据,2023-04-15,商品房,2021-05-17,商住两用,暂无数据,非共有,无抵押,已上传房本照片,此房满两年，朝南户型，精装，业主诚心出售，看中价格可谈，,,,税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,东马路就是通江大道多条公交路线BRT快速公交龙城高架近在咫尺出小区门口行驶两百米直接可以上高架了距离高铁北站仅5千米出行方便小区门口自带中型市场,,,,,开发商统一装修！比较实用舒适！精致装修。满足不同人群的需求！房东自己改动过窗户,,,民水,民电,,
524,勤业新村，两房中间楼层，户型方正，采光好，随时看房,53万,8905,钟楼区五星,勤业一二三村,2室2厅1厨1卫,中楼层 (共5层),59.52㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-14,商品房,2017-10-31,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正，全天采光，房子保养的一直都很好,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,诚意出售， 欢迎看房，随时恭候户型棒，成熟小区管理 欢迎咨询房子详情,,,,,,,,,,
525,勤业新村 两房朝南 楼层好采光佳 装修清爽,52万,8771,钟楼区五星,勤业一二三村,2室1厅1厨1卫,中楼层 (共5层),59.29㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-15,商品房,2021-12-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正，南北通透，楼层好采光佳，装修清爽。,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,"1：契税：首套房90平米以下1%，90平米以上1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,,,,
526,城置御水华庭80.32平精装修，两房，户型方正,110万,13696,钟楼区五星,城置御水华庭,2室2厅1厨1卫,低楼层 (共18层),80.32㎡,平层,61.2㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-27,商品房,2010-07-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,紧靠龙湖天街，2号线地铁口，综合菜市场旁，生活很便捷,城置御水华庭位于钟楼区勤业板块，北临千年古运河，南依劳动西路，东靠勤业北路，交通便利，通过劳动西路与繁华城心直线相连；整个小区由18栋小高层和高层住宅和4万平米综合体组成。,,,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，公交258，39路和B23，龙湖天街和大润发,,,,小区物业管理很好，绿化很好，儿童游乐场，健身器材，篮球场一应具全，适合年轻人或 一家三口居住,,,,,,,
527,一口价38万！70年！ 开发商统一精装24H热水 拎包入,38万,9680,钟楼区五星,凯纳商务广场,1室0厅1厨1卫,高楼层 (共60层),39.26㎡,平层,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2022-07-21,商品房,2019-09-11,商住两用,满两年,共有,无抵押,已上传房本照片,一口价38万！70年！ 开发商统一精装24H热水 拎包入,常州标志性高楼建筑 总高58层 电梯分高低区，分流业主，统一酒店式管理,,,,70年产权，产权清晰，按照70年交税，随时可以办理手续，房东诚心出售,,,,开发商统一精装修，没有厨房，有预留的烟道口，可以自己改出来厨房的,,,民水,民电,2.45元/m3,
528,楼层好 复式结构 采光充足 视野开阔 交通便利,39.8万,7675,钟楼区五星,港龙尚层,1室1厅1厨1卫,中楼层 (共19层),51.86㎡,跃层,暂无数据,板塔结合,南,钢混结构,简装,两梯三十五户,有,暂无数据,2023-07-19,商品房,2012-03-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好 复式结构 采光充足 视野开阔 交通便利,,中低楼层 复式结构 朝东方向 通透格局 采光充足 视野开阔 拎包即住,,,售房原因：业主出售多余房产 变现 房屋状态：目前业主自用 业主自用随时看房,,brt公交车 南到南大街 北至新北万达商圈 东到火车站 交通便利,,,,,,,,
529,凯纳商务广场 1室1厅 南,75万,10238,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,高楼层 (共60层),73.26㎡,平层,暂无数据,塔楼,南,钢混结构,精装,六梯二十三户,有,暂无数据,2023-11-17,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,民水,民电,2.45元/m3,
530,顶楼带阁楼格局视野宽阔采光充足平台设施齐全交通便利,72万,10123,钟楼区五星,花园新村,4室2厅1厨1卫,高楼层 (共5层),71.13㎡,复式,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-13,商品房,2000-12-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,顶楼带阁楼格局视野宽阔采光充足平台设施齐全交通便利,,户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%； 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,,,
531,生活配套成熟 地铁菜场大润发 户型好楼层好 看房方便,62万,11486,钟楼区五星,勤业四村,2室1厅1厨1卫,高楼层 (共6层),53.98㎡,平层,暂无数据,板塔结合,南,混合结构,简装,暂无数据,无,暂无数据,2023-04-22,商品房,1994-02-25,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,生活配套成熟 地铁菜场大润发 户型好楼层好 看房方便,小区位于钟楼区勤业板块，是常州体量最big的老小区，生活配套成熟，地铁公交四通八达。临三堡街，历史人文环境好,,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成 交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住 房，免收个税，未满5年成交价的1%",小区成熟，公园，地铁，上学，商场，天街，医院近在咫尺，工作生活便利。 五星公园，地铁二号线，龙湖天街，宝龙广场 ，妇幼保健医院,,,,,,,,,,,
532,成熟社区 白云新村 生活交通便利 采光好 中间楼层,55万,8250,钟楼区五星,白云新村,2室1厅1厨1卫,中楼层 (共6层),66.67㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-07-07,商品房,2017-10-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,成熟社区 白云新村 生活交通便利 采光好 中间楼层,市政府完成老小区的改善，环境干净，道路平整， 配套完善，新怡华CAO市，交通便利,,"税费解析：
契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 。2税： 满两年不论面积 全免 不满二年 收全额的5.6%",生活交通配套设施齐全，花园综合市场，美食一条街和五星公园，大卖场生活方便,,,,,,,,,,,
533,花园新村 精装修2房 采光通风好 拎包入住,60万,10163,钟楼区五星,花园新村,2室1厅1厨1卫,中楼层 (共5层),59.04㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-17,商品房,2006-06-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装两房房，花园新村楼栋位置好，明厨明卫采光通风好,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,装修修两房，每个房间都配有衣柜，名厨明卫，全天采光，南北通风好，生活方便,,,房子居家精装修，房子清爽干净，保养新，拎包入住，房东置换，诚意出售,,,,,,,,,,
534,晋陵文华旁怡美花园 前无遮挡 精装拎包入住,102万,11992,钟楼区五星,怡美花园,2室2厅1厨1卫,低楼层 (共16层),85.06㎡,平层,70㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-18,商品房,2015-06-12,普通住宅,暂无数据,共有,有抵押 25万元 建行,已上传房本照片,"此房满五唯一，精装修，拎包入住,楼层好，位置好，视线采光好",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。,,,,,,客厅宽敞亮，明亮通透，采光效果好，视野宽阔，使用率高，舒适安静，适宜居住,,,,,,
535,西新桥 机械二村 装修好 干净整洁 位置采光好,60万,10066,钟楼区五星,机械二村,2室1厅1厨1卫,中楼层 (共5层),59.61㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-03-29,商品房,1996-07-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,西新桥、机械二村，装修好，干净整洁，位置采光好,配套齐全，有菜场，公园，不临街，靠医院近 2，交通便利，四通八达，出行更加方便，节省时间 .配套医院近，适合家有老人和孩子的家庭,1，户型方正，格局分布合理，空间感好，通透性强，居住舒适 2，楼层好。位置不影响采光,,距离五星公园仅500米，距离万达广场直线距离仅2000米，距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便. 小区门口自带中型生活市场，烟酒店等,,,,,,,,,,,
536,蓝天花园 精装修2室2厅 楼层好采光好,110万,12435,钟楼区五星,蓝天花园西区,2室2厅1厨1卫,中楼层 (共6层),88.46㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-05-23,商品房,2008-10-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好，视野开阔，前面无遮挡，交通便利配套设施齐全,,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,契税：首套房 90平方以下成交价的1%， 90平方以上成交价的1.5%； 二套房 90平方以上成交价的2%,小区环境优美，舒适安静 适宜居住，出门即有52路，39路等公交，菜场，银行 美食一条街等，与五星公园一路之隔，下楼即到,,,,,,,,,,,
537,都市桃源一期 1室1厅 南,68万,13450,钟楼区五星,都市桃源一期,1室1厅1厨1卫,中楼层 (共9层),50.56㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯十八户,有,暂无数据,2023-08-16,商品房,2016-06-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
538,诚心出售 城置御水华庭 精装两房,104万,12897,钟楼区五星,城置御水华庭,2室1厅1厨1卫,高楼层 (共18层),80.64㎡,平层,61.24㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-28,商品房,2014-03-28,普通住宅,满五年,共有,无抵押,已上传房本照片,小区地理位置佳，绿化好，居民素质高，有健身器材，活动场所，建有地上停车场和地下停车库，停车位充足，二十四保安巡逻，菜场，便利店，商场，银行等配套设施齐全，生活方便快捷,房东诚心出售，自住的，保养好，可拎包入住，看房有提前联系房东,,,,"首套房90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以下成交价的1%，90平以上成交价的2%,三套及以上成交价的3%；2、个税：产证满五唯一，免收个税，不唯一成交价的1%",,,,,042431071191,楼层好，视野宽阔，采 光充足，配套设施齐全,,,,
539,西新桥 70年产权 精装修 交通便利 采光好,88万,11306,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,低楼层 (共60层),77.84㎡,平层,暂无数据,塔楼,南,钢混结构,精装,六梯二十四户,有,暂无数据,2023-08-19,商品房,2019-05-17,商住两用,暂无数据,非共有,有抵押 6万元,已上传房本照片,年轻人，可以作为首套过渡房；中老年人可以作为，养老房；外地户口可以入驻常州；家中有适龄儿童的可以上西新桥的幼儿园。 中老年朋友的晚年选择，菜场便利店方便，年轻人的初次置业选择，总价不高温馨小家,,,距BRT站台B1、B10、B12直线距离200米 通江路往南吾悦国际广场3公里，往北万达广场3公里 菜场：西新桥菜场800米 医院：一院二院3公里，小区有招商银行，中国银行，西新桥菜场，万达 吾悦,,,,,税费是以家庭为单位的，如想了解更多税费，可联系房源经纪人，或者看看为您推荐的相似好房！,,042482296193,西新桥 70年产权 精装修 交通便利 采光好,民水,民电,2.45元/m3,
540,西新桥 70年产权 精装修 交通便利 采光好,88万,11306,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,低楼层 (共60层),77.84㎡,平层,暂无数据,塔楼,南,钢混结构,精装,六梯二十四户,有,暂无数据,2023-08-19,商品房,2019-05-17,商住两用,暂无数据,非共有,有抵押 6万元,已上传房本照片,年轻人，可以作为首套过渡房；中老年人可以作为，养老房；外地户口可以入驻常州；家中有适龄儿童的可以上西新桥的幼儿园。 中老年朋友的晚年选择，菜场便利店方便，年轻人的初次置业选择，总价不高温馨小家,,,距BRT站台B1、B10、B12直线距离200米 通江路往南吾悦国际广场3公里，往北万达广场3公里 菜场：西新桥菜场800米 医院：一院二院3公里，小区有招商银行，中国银行，西新桥菜场，万达 吾悦,,,,,税费是以家庭为单位的，如想了解更多税费，可联系房源经纪人，或者看看为您推荐的相似好房！,,042482296193,西新桥 70年产权 精装修 交通便利 采光好,民水,民电,2.45元/m3,
541,深业华府 精装修 拎包住 业主诚心出售,127万,16385,钟楼区五星,深业华府,2室1厅1厨1卫,中楼层 (共33层),77.51㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-26,商品房,2020-01-01,普通住宅,暂无数据,非共有,有抵押 100万元 业主自还,已上传房本照片,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,042362425607,2室 户型方正 装修好 拎包住 诚心出售 看房方便,,,,
542,新城香悦半岛，不靠高架，视野好，全天采光。,123万,14847,钟楼区五星,新城香悦半岛北区,2室2厅1厨1卫,低楼层 (共34层),82.85㎡,平层,62.25㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-07-27,商品房,2014-08-08,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,香悦半岛 楼层好 全天采光 通风性好,"小区环境优美,舒适安静适宜居住,出门即有公交菜场,银行supermarket美食等人文素养 好,乐于助人,相处和谐","房屋格局好,户型方正视野好,干湿分离,明厨明卫.视野开阔，楼层好，没有噪音",,"配套五星公园,出门就是,晚饭过后可以散步,楼下就是蓝天美食一条街,各种美食 一应具有,小区门口就有公交站台和共享单车,出行方便欧尚300米左右和龙 湖天街",,,,,,,,,,,
543,西新桥二村 低楼层 采光好 房东诚心出售 随时看房,58万,9487,钟楼区五星,西新桥二村,2室1厅1厨1卫,中楼层 (共4层),61.14㎡,平层,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-02-07,商品房,2010-03-10,普通住宅,满五年,共有,无抵押,已上传房本照片,两房小户型，明厨明卫，得房率高，居住舒适,小区为90-00年左右的老式步梯小区，分布式排列，楼层都不高，采光通风效果好,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平米以下成交价的1％，90平以上成交价的2%； 增值税：此房已满五，免征增值税； 个税：此房产证满五年不唯一，成交价1%的个税。工本费80元/本",,,权属清晰，简单明确，无抵押，无贷款，交易安全有保障。业主诚心出售，随时可看,,,,,,,,,
544,龙湖天街旁 地铁口 平岗小 蓝天新苑精装小户型,95万,12509,钟楼区五星,蓝天新苑,2室1厅1厨1卫,低楼层 (共24层),75.95㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,暂无数据,2023-07-04,商品房,2018-03-28,普通住宅,暂无数据,非共有,有抵押 33万元 工商银行 业主自还,已上传房本照片,商圈成熟 婚房装修  近地铁 平岗实验小 拎包入住,1、小区边生活设施齐全、菜市场、银行、交通便捷； 2、小区内设有健身器材，小型篮球场和游泳池和社区活动所，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，公交258，39路，B23，龙湖天街和大润发,,,,,,,,,,,
