,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,装修描述,权属抵押,户型介绍,售房详情,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
71,交通便捷，离商场，*市，菜市场进,41万,10000,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,高楼层 (共14层),41㎡,平层,暂无数据,塔楼,北,钢混结构,精装,两梯三十户,有,暂无数据,2021-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,业主诚心出售，价格便宜看房方便。,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,,,小区生活设施齐，商场、*市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,
72,路劲城市主场三房中间楼层房东诚心出售,145万,15264,钟楼区西林,路劲城市花园,3室2厅1厨1卫,中楼层 (共34层),95㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-02-15,商品房,2023-02-07,普通住宅,未满两年,共有,有抵押 50万元 邮政银行 客户偿还,已上传房本照片,高楼层，视野开阔，采光充足，交通便利,首套房90M以下1％、90M以上 1.5％二套房90M以下1％、90M以上2％三套房不论面积统一3％.2.税：满二年不论面积全免、不满二年收全额的5.6％、3、个人所得税：满二年不满5年1％,配套完善 交通便利 小区物业好24小时安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,路劲城市主场作为路劲地产钟楼板块的先锋部队，无论房屋质量、小区绿化、物业管理都是按照总公司的标准执行，高标准、高品质、早买早省心。,,,,,,,,,,
73,楼层好。采光无遮挡，全天采光。精装修。房东诚心出售,198万,16666,钟楼区西林,路劲城市花园,4室2厅1厨2卫,高楼层 (共18层),118.81㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2020-11-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元,未上传房本照片,楼层好。采光无遮挡，全天采光。精装修。房东诚心出售。,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2： 满两年不论面积 不满二年 收全额的5.6% 3个人所得税： 满两 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3%,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库，小区成熟，配套完善。 生活设施齐全,,小区环境优美，绿树成荫，出则繁华入则安静，里面有健身设施和小型儿童游乐场所,,,,,,,,,,
74,泰盈八千里花园好房环境优雅绿化多,162万,16202,钟楼区西林,泰盈八千里,3室2厅1厨1卫,低楼层 (共29层),99.99㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,两梯四户,有,暂无数据,2020-11-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 60万元,未上传房本照片,1、环境优雅，低密度社区。 2、小区绿化高，让您感受像花园,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",幼儿园：西林幼儿园：大型商场：万泰广场，宝龙广场 ，社区医院，妇幼保健院：中国农业银行：江南农村银行其他：西林公园,交通方便，北边紧靠常金线，南边紧靠清潭西路，各路公交和BRT，自驾上高架，去市区都很方便 。,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 *市 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,,,
75,好房急售价格可谈随时看房先到先得价格美丽,170万,12409,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共31层),137㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2020-06-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,商圈地段，地段好，采光好，精装小户型,,,,,1精装家电齐全，提高您的生活品味 2我是整洁美观，睡眠舒适 宽敞，布局简洁大方,,1厨房连阳台，吃饭之余可晒太阳，闲情又逸致 2布局分配很合理，空间利用很高,房东置换急售，随时看房，诚心出售，看房提前联系，房东人在金坛,,,,,,
76,泰盈八千里3房2厅2卫 房东诚意出售，看房提前联系,205万,16440,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共27层),124.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2020-07-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 建设银行 客户偿还,未上传房本照片,此房满二年，楼层刚好，视野开阔，采光无遮挡，毛坯房。,"分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"抵押：
此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同",,"详情：
业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。",,,,,,
77,泰盈八千里精装三房，房东诚心出售,155万,12699,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共26层),122.06㎡,平层,暂无数据,板塔结合,西南 北,钢混结构,精装,两梯四户,有,暂无数据,2020-03-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,中间楼层，采光无遮挡，满两年，房东置换诚心出售，可小刀。,,幼儿园：西林幼儿园：大学商场：万泰广场、上海家具大卖场医院：西林医院邮局：中国邮政银行：江南农村银行其他：西林公园,,居住环境好，小区人友善好相处，药店*市菜场就很方便，小区物业管理到位，夜晚有巡逻，安全性高,,,,房东置换，诚心出售，价格可以再谈，欢迎看房，随时恭候本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为准。产权清晰，无任何经济纠纷，由中介把控风险，请放心考虑,,,,,,
78,西林公园 泰盈八千里 精装正四房 业主诚售 欢迎来扰！,150万,10698,钟楼区西林,泰盈八千里,4室2厅1厨2卫,低楼层 (共32层),140.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-01-31,商品房,2024-03-09,普通住宅,未满两年,非共有,有抵押 120万元,已上传房本照片,视野开阔，采光充足，交通便利，,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,楼层好，采光充足，配套齐全，精装两房。主卧带阳台，视野开阔，房东诚售。,房东处理财产，诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为准。产权清晰，无任何经济纠纷，请放心考虑。,,,,,,
79,路劲城市花园，精装三房，小区前排，采光好，户型佳,135万,15704,钟楼区西林,路劲城市花园,3室1厅1厨1卫,高楼层 (共27层),85.97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,路劲精装三房，满五唯一，楼层佳，采光好,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区介绍： 小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。，内设服务大厅、警务室、活动场所、便民服务,,,户型介绍： 格局分布合理，格局好，通透性强，居住舒适；视野开阔，采光透亮,,,,,,,
80,满五不唯一，精装修大四房，户型方正，三开间朝南,208万,14752,钟楼区西林,路劲城市花园,4室2厅1厨2卫,低楼层 (共32层),141㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2020-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,位置好，得房率高， 保养新 户型方正.采光无遮挡,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 *市 美食等 人文素养好，,,,,,,,,,,
81,新上三房，总价低，看房方便，看中可谈,115万,13465,钟楼区西林,泰盈八千里,3室2厅1厨1卫,低楼层 (共27层),85.41㎡,平层,暂无数据,板塔结合,南,混合结构,精装,两梯四户,有,暂无数据,2023-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元 业主自还,未上传房本照片,楼层不是很高，采光佳，此房到6月满五，餐厅客厅一体呈现,,北边，东边，南边是商*各种配套，西边是孩子培训机构，南边不*就是菜场,东临龙江路高架，东边就是公交站台，北边就是常州BRT，西边是公交枢纽,小区内环境优美，干净整洁，楼栋分布均匀，24小时安保，地下停车位,,,,,,,,,,
82,路劲城市花园 精装 拎包入住 看房方便 业主诚售,120万,12245,钟楼区西林,路劲城市花园,3室2厅1厨1卫,低楼层 (共32层),98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-05-03,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 客户偿还,未上传房本照片,位置好，得房率高， 精装 拎包入住 业主诚售,契税：首套房90M以下1％、90M以上 1.5％二套房90M以下1％、90M以上2％三套房不论面积统一3％.2.税：满二年不论面积全免、不满二年收全额的5.6％、3、个人所得税：满二年不满5年1％,配套完善 交通便利 小区物业好24小时安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 *市 美食等 人文素养好,,,,,,,,,,
83,位置好，得房率高，装修新，户型方正.采光无遮挡,190万,17432,钟楼区西林,路劲城市花园,3室2厅1厨2卫,低楼层 (共34层),109㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,位置好，得房率高，物业好， 装修新，户型方正.采光无遮挡,90平以下首套房和二套房契税都是1％、三套及以上契税3%。个税是1%。 90平以上首套房契税1.5%，二套房契税2%，三套及以上契税3%，个税1%。 如果房子是房东名下唯一的房产，且满五年，则可省1%个税。 满五和唯一两个条件缺一不可。,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
84,路劲城市花园，3房2卫，户型好，房东诚售,152万,15050,钟楼区西林,路劲城市花园,3室2厅1厨2卫,低楼层 (共32层),101㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,视野宽阔，采光充足，配套齐全，交通便利。。。。。。。。。。,首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库。,,,,,,,,,,
85,泰盈八千里三房两卫，户型好，房东诚售,132万,11140,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共26层),118.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-10-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,高楼层，视野开阔，采光充足，交通便利,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,楼层好，采光充足，配套齐全三室两厅一厨两卫。客厅带阳台，视野开阔,房东处理财产，诚心出售，价格可以再谈，本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为准。产权清晰，无任何经济纠纷，请放心考虑。,,,,,,
86,泰盈八千里 东首三房毛坯诚意出售 有钥匙随时看,145万,11128,钟楼区西林,泰盈八千里,3室1厅1厨2卫,中楼层 (共22层),130.31㎡,平层,100.94㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-02-22,商品房,2022-05-24,普通住宅,未满两年,共有,无抵押,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,,,,,,,
87,景荟公寓，40年产权，新装修，适合单身,40万,9785,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,低楼层 (共14层),40.88㎡,平层,暂无数据,塔楼,北,钢混结构,精装,六梯三十户,有,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 8万元,未上传房本照片,景荟公寓，40年产权，新装修，适合单身，可拎包入住。,,小区生活设施齐，商场、菜市场、银行等，交通便捷；小区内停车位充足，建有地上停车场和地下车库，小区内24小时保安巡逻。,,小区生活设施齐，商场、、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,装修简约大方，格局好，空间灵动，家电家具齐全，电梯房。。。。,,,,,,,,,
88,路劲城市花园 3室2厅 南,130万,15117,钟楼区西林,路劲城市花园,3室2厅1厨1卫,中楼层 (共34层),86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 客户偿还,未上传房本照片,,,,,,,,,,,,,,,
89,满五唯一，南北通透，视野宽阔，采光充足，配套齐全,119万,12269,钟楼区西林,泰盈八千里,3室2厅1厨1卫,中楼层 (共18层),97㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-05-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一，南北通透，视野宽阔，采光充足，配套齐全，交通便利,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
90,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,125万,14003,钟楼区西林,泰盈八千里,2室1厅1厨1卫,中楼层 (共27层),89.27㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,,,,,,,
91,景荟公寓毛坯1居室  房东诚心卖,28.5万,6969,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,中楼层 (共14层),40.9㎡,平层,40㎡,塔楼,北,钢混结构,毛坯,六梯三十户,有,暂无数据,2023-05-10,商品房,2023-05-13,普通住宅,未满两年,非共有,无抵押,已上传房本照片,精致一居 布局合理 环境清雅 配套齐全  诚售,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,,,
92,2016年交付次新房 小三房精装修 中间楼层,145万,16875,钟楼区西林,路劲城市花园,3室1厅1厨1卫,中楼层 (共25层),85.93㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-05-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,2016年交付次新房 小三房精装修 中间楼层,契税：首套房90M以下1％、90M以上 1.5％二套房90M以下1％、90M以上2％三套房不论面积统一3％.2.税：满二年不论面积全免、不满二年收全额的5.6％、3、个人所得税：满二年不满5年1％,配套完善 交通便利 小区物业好24小时安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,路劲城市主场作为路劲地产钟楼板块的先锋部队，无论房屋质量、小区绿化、物业管理都是按照总公司的标准执行，高标准、高品质、早买早省心。,,,,,,,,,,
93,路劲城市花园 3室1厅 南,160万,16932,钟楼区西林,路劲城市花园,3室1厅1厨1卫,高楼层 (共34层),94.5㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
94,路晋城市花园精装保养好，中间楼层边户，看房方便,185万,16141,钟楼区西林,路劲城市花园,3室2厅1厨2卫,中楼层 (共30层),114.62㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-07-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 18万元 客户偿还,未上传房本照片,位置好，楼层好，得房率高， 保养新 户型方正.采光无遮挡,,"：
配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场",,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 商场 美食等 人文素养好,,,,,,,,,,
95,路劲城市花园 3室2厅 南,180万,16859,钟楼区西林,路劲城市花园,3室2厅1厨2卫,高楼层 (共34层),106.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
96,路劲城市花园 精装小三房诚心出售,165万,17461,钟楼区西林,路劲城市花园,3室2厅1厨1卫,低楼层 (共34层),94.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中间楼层，精装修，拎包就住，采光不受影响,税费解析： 契税 ：首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 个税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,商场：万泰广场、人民医院钟楼分院、妇幼保健院：邮局：中国邮政 银行：江南农村银行 其他：西林公园、皇粮浜湿地公园,交通出行： 公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,,,,,,,,,,,
97,路劲精装三房，中间层，满五唯一，楼层佳，采光好,158万,17955,钟楼区西林,路劲城市花园,3室2厅1厨1卫,中楼层 (共34层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,路劲精装三房，中间层，满五唯一，楼层佳，采光好,税费解析： 税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,小区介绍： 小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。，内设服务大厅、警务室、活动场所、便民服务,,,户型介绍： 户型介绍： 格局分布合理，格局好，通透性强，居住舒适；视野开阔，采光透亮,,,,,,,
98,楼层好，视野开阔，交通便利，采光充足,180万,14755,钟楼区西林,泰盈八千里,3室1厅1厨2卫,低楼层 (共18层),122㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-10-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 80万元 江阴农商行,未上传房本照片,楼层好，视野开阔，交通便利，采光充足,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,楼层好，采光充足，配套齐全，三室二厅一厨一两卫。卧室带阳台，视野开阔,产权清晰，无纠纷； 房东置换，诚心出售， 看房方便，看中即签！ 随时恭候您的来电,,,,,,
99,精装修三房 视野采光无遮挡 业主诚售,195万,15355,钟楼区西林,泰盈八千里,3室1厅1厨2卫,高楼层 (共18层),127㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修三房 视野采光无遮挡 业主诚售,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,在户型设计上：采用是方正实用，南北对流、多阳台及空中花园，通风采光好，实用率高。特色的阳台以及漂窗的用心的设置大大提高了空间功能性和使用率，同时也提升了空间布局的趣味性和标志性。使您的利益得到了Z大化的保障。,,,,,,,
100,精装修三房 视野采光无遮挡 业主诚售,125万,13348,钟楼区西林,泰盈八千里,3室1厅1厨1卫,高楼层 (共32层),93.65㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯五户,有,暂无数据,2022-05-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修三房 视野采光无遮挡 业主诚售,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,在户型设计上：采用是方正实用，南北对流、多阳台及空中花园，通风采光好，实用率高。特色的阳台以及漂窗的用心的设置大大提高了空间功能性和使用率，同时也提升了空间布局的趣味性和标志性。使您的利益得到了Z大化的保障。,,,,,,,
101,诚心出售 泰盈八千里精装修3房 看中可谈,138万,14758,钟楼区西林,泰盈八千里,3室2厅1厨1卫,中楼层 (共32层),93.51㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯六户,有,暂无数据,2023-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,此房户型方正 三室两厅一厨一卫 采光充足 配套完善 交通方便,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻..,,,,,小区环境优美，舒适安静，适宜居住，宝龙物业，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,,,,,
102,户型方正，三室两厅一厨两卫 中间楼层 采光充足,168万,14000,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共32层),120㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-06-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正，三室两厅一厨两卫 中间楼层 采光充足 配套完善,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,,,,,
