,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,交通出行,房源核验码,查询房管备案记录,售房详情,权属抵押,装修描述,适宜人群,别墅类型,用水类型,用电类型,燃气价格
399,格兰艺堡精装三房 户型方正通透 保养好拎包住,175万,12774,钟楼区永红,西城格兰艺堡,3室2厅1厨1卫,高楼层 (共33层),137㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯四户,有,暂无数据,2021-07-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正通透，精装修，保养好，拎包住。房东诚售。,小区地理位置佳，绿化好，居民素质高，小区有健身器材，活动场所。建有地下停车位，车位充足，二十四小时保安巡逻，菜场，商场，银行等配套设施齐全，生活方便快捷，交通便利。,1、	户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,"1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,,,,,,,,,,,
400,此房户型好，楼层好，采光刺眼，精装修,150万,13762,钟楼区永红,城市中央美居,3室2厅1厨2卫,低楼层 (共29层),109㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯六户,有,暂无数据,2022-04-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型好，楼层好，采光刺眼，精装修,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住,"户型介绍：
三开朝南，客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适。","税费解析：
税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
401,格兰艺堡一楼精装，诚心诚意出售，,150万,15479,钟楼区永红,西城格兰艺堡,3室2厅1厨1卫,低楼层 (共6层),96.91㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,暂无数据,暂无数据,暂无数据,2022-09-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房精装保养好，两房朝南，高楼层，视野开阔，拎包住，环境..,小区地理位置佳，绿化好，居民素质高，小区有健身器材，活动场所。建有地下停车位，车位充足，二十四小时保安巡逻，菜场，商场，银行等配套设施齐全，生活方便快捷，交通便利。,1、 户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,,,,,,,,,,,,
402,中间楼层采光好，户型格局好，方正通透明亮，价格议,128万,12468,钟楼区永红,嘉宏云顶,3室2厅1厨1卫,低楼层 (共32层),102.67㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，通透明亮，视野宽阔，采光充足，配套设施齐,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,1.环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调；2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,
403,一梯一户 三大件精装交付 2020年次新房 小区优势区位,310万,23620,钟楼区永红,城市中央美居,4室2厅1厨2卫,低楼层 (共17层),131.25㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-09-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,一梯一户 三大件精装交付 2020年次新房 小区优势区位,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2019年的新房，精装交付。 产品类型：高层，一梯一户，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,一梯一户的板楼建筑形式，得房率高，通透明亮，户型方正，动静分离。三大件精装交付，拎包入住，尽显便捷。,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
404,路劲雅居国仕花园  户型方正  精装三房,215万,24294,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨1卫,中楼层 (共19层),88.5㎡,平层,暂无数据,暂无数据,西南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-03-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，精装三房，带地暖，全新未住。,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,,
405,路径铂隽 精装交付 房东诚心出售 看房方便,430万,22873,钟楼区永红,城市中央美居,5室1厅1厨3卫,中楼层 (共23层),188㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-12-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,美居天花板户型、位置、楼层，有钥匙等你来看，业主人很好,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:,未满5 年成交价的1%。",配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,,,,,,,,,,
406,户型方正，格局分布合理，空间感好，通透性强,298万,16384,钟楼区永红,蓝色星空,5室2厅1厨2卫,高楼层 (共6层),181.89㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-11-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，格局分布合理，空间感好，通透性强，居住舒适,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 小区地理位置优越，交通便捷，设施齐全，生活便利,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区生活设施齐全，商场菜市场、银行等，交通便捷，生活便利.........,,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候您的电话预约看房,,,,,,,
407,桂花园精装3室 拎包入住 楼层采光好 小区安静,128万,12488,钟楼区永红,桂花园,3室2厅1厨1卫,高楼层 (共24层),102.5㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯五户,有,暂无数据,2022-02-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,桂花园精装3室 拎包入住 楼层采光好 小区安静 得房使用率高,,"：
户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足",1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收,,,,,"：
价格可以再谈，业主诚心出售，低总价 产权清晰，证件齐全，看房方便",,,,,,,
408,三开间朝南！精装修三房 没有住过 随时可以看房,150万,13762,钟楼区永红,城市中央美居,3室1厅1厨2卫,低楼层 (共25层),109㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯六户,有,暂无数据,2022-09-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,满两年，开发商精装修交付，入住成本低，有钥匙看房方便,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2019年的新房，精装交付。 产品类型：高层板楼，，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,小区全部为高层板楼建筑形式，具有通透、户型方正，开间宽，阳光进深足的优点；2019年精装交付，标准三大件：科技空调、新风系统、地暖，典型的新一代品质住宅小区。,,,,,
409,2020年交付新房 精装三大件 科技空调 品质物业,325万,22704,钟楼区永红,城市中央美居,3室2厅1厨2卫,中楼层 (共17层),143.15㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-11-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,2020年新房 精装修交付 三开间朝南 科技空调 品质物业,小区交付于2019年年底，由路劲地产开发，开发商成立于2003年，位列外资房地产开发企业第1名、全国房企30强，自持物业。小区总计13幢高层，典型的新一代住宅。全精装交付，包含科技空调 ，新风系统 ，地暖。品质楼盘，适合改善居住。,一梯一户，得房率高，通透明亮，户型方正，动静分离。三大件精装交付，拎包入住，尽显便捷。,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
410,绿园，采光好，房东诚心出售，看房方便。,116万,10781,钟楼区永红,绿园,3室1厅1厨1卫,高楼层 (共6层),107.6㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元,未上传房本照片,绿园，采光好，房东诚心出售，看房方便。,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
411,三开间朝南 通透明亮 精装修交付 大金空调 品质物业,267万,19348,钟楼区永红,城市中央美居,4室2厅1厨2卫,高楼层 (共29层),138㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 130万元,未上传房本照片,三开间朝南 通透明亮 精装修交付 大金空调 品质物业,小区交付于2019年年底，由路劲地产开发，开发商成立于2003年，位列外资房地产开发企业第1名、全国房企30强，自持物业。小区总计13幢高层，典型的新一代住宅。全精装交付，包含科技空调 ，新风系统 ，地暖。品质楼盘，适合改善居住,一梯两户比例，连廊板楼建筑形式，得房率高，通透明亮，户型方正，动静分离。三大件精装交付，拎包入住，尽显便捷。,"契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
412,四房两卫 西边户  大金空调精装修交付,298万,22477,钟楼区永红,城市中央美居,4室1厅1厨2卫,高楼层 (共29层),132.58㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯六户,有,暂无数据,2023-05-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房通透明亮，经典三房户型通透，采光无遮挡,小区交付于2019年年底，由路劲地产开发，开发商成立于2003年，位列外资房地产开发企业第1名、全国房企30强，自持物业。小区总计13幢高层，典型的新一代住宅。全精装交付，包含科技空调 ，新风系统 ，地暖。品质楼盘，适合改善居住。,一梯两户比例，连廊板楼建筑形式，得房率高，通透明亮，户型方正，动静分离。三大件精装交付，拎包入住，尽显便捷。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
413,金谷花园 复式 电梯 房 大面积户型好 看房方便,190万,10338,钟楼区永红,金谷花园,5室2厅1厨2卫,高楼层 (共6层),183.8㎡,复式,暂无数据,板楼,南 北,混合结构,精装,暂无数据,无,暂无数据,2022-11-19,商品房,2003-03-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,042474369346,此房配套好，生活设施齐全，交通便捷，出行方便，户型采光好..,,,,,,,,
414,房子精装修，业主诚心出售，环境好,140万,13756,钟楼区永红,桂花园,3室2厅1厨1卫,高楼层 (共24层),101.78㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2021-07-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地理位置优越，交通方便 楼层好 拎包可住,得房率高 入住率高 配套齐全 位置优越 . 环境好   舒适安静，适宜居住，出门即有公交、菜场、银行、美食等，人文素养好,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,门口十二路公交车，北面42路公交，出行方便，步行一百米以内有免费自行车,,,,,,,,,,
415,路劲铂隽四房两卫精装修地暖拎包入住中间楼层采光好,300万,22628,钟楼区永红,城市中央美居,4室2厅1厨2卫,高楼层 (共29层),132.58㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯六户,有,暂无数据,2021-02-21,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,精装修 家具家电齐全 婚房配置 拎包入住,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 *市 美食等 人文素养好，乐于助人，相处和谐！！ 小区居住密度低，物业环境好！,,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",荆川公园 清潭菜场 华联*市 新怡华*市，中国银行 建设银行 海王星辰药店 三鲜美食城等,,,,,,,,,,,
416,教科院旁国仕九礼三房两厅两卫精装修地暖空调,310万,25000,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,中楼层 (共19层),124㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,一梯六户,有,暂无数据,2020-09-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装修，拎包入住，有地暖，自带空调，边户，通透性好。。。,路劲国仕九礼，门口清潭路，公交站台42路，路劲物业，门口陈渡菜场，百惠隆，荆川公园。,,首套房个税1%，契税90平以下1%，90平以上1.5% 二套房90平以上契税2% 未满两年5.3%增值税,,,,,,,开发商统一交付，精装修，拎包入住，有地暖，自带空调，未入住。,,,,,
417,户型格局好，优质户型，户型方正，通透明亮,170万,14062,钟楼区永红,荣亨逸都,3室2厅1厨2卫,低楼层 (共16层),120.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-06-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 150万元 客户偿还,未上传房本照片,此房位置好，南北空气对流，楼层好，采光无遮挡,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场……,.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。,,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,
418,挂花园婚装三房 楼层佳 采光充足 价可谈,250万,24532,钟楼区永红,桂花园,3室2厅1厨1卫,高楼层 (共24层),101.91㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2021-10-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,楼层好，采光足，交通便利，生活配套成熟，出门即是校园,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,门口十二路公交车，北面42路公交，出行方便，步行一百米以内有免费自行车,,,,,,,,,,
419,小高层四叶草户型 交付精装 价格可议 业主诚售,248万,18932,钟楼区永红,城市中央美居,4室2厅1厨2卫,低楼层 (共17层),131㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,小高层 四叶草户型 带大充电桩产权车位 精装交付,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,您好：您的专属置业顾问孙国静很高兴为您服务！ 您咨询的这套房子在卖的，您真的很有眼光，这套房子很不错，您需要了解什么信息都可以问我 期待作为您的经纪人带您开启愉悦的找房之路！,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,,,,,,,,,,
420,路劲雅居乐国仕九礼 3室2厅 南 北,265万,24447,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,高楼层 (共19层),108.4㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯六户,有,暂无数据,2023-04-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,,,,,,,,,,,,,,,,
421,悠闲院子 采光好 养花休闲优质好房,180万,16217,钟楼区永红,香江庭院,3室2厅1厨2卫,低楼层 (共6层),111㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2021-07-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正 采光充足 配套完善 交通便利,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,"户型格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税：满五年唯一免个人所得税,,,,,,,,,,,,
422,户型方正，开发商精装 看房方便 交通便利。,228万,17198,钟楼区永红,城市中央美居,4室2厅1厨2卫,高楼层 (共29层),132.58㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯六户,有,暂无数据,2022-06-16,商品房,2020-01-01,普通住宅,暂无数据,共有,有抵押 120万元 客户偿还,已上传房本照片,户型方正，开发商精装 看房方便 交通便利。,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐！！ 小区居住密度低，物业环境好。,,"：
首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:,未满5 年成交价的1%。",,,,,,,,,,,,
423,路劲城市印象，户型方正，南北朝向。,186万,14308,钟楼区永红,路劲城市印象,4室2厅1厨2卫,低楼层 (共34层),130㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2019-11-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,此房户型格局好，楼层好、视野宽阔、采光充足、配套设施齐全..,小区旁成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 三开间朝南，通透格局,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
424,此房满五唯一，南北空气流通采光好，楼栋位置佳视野好,67万,10409,钟楼区永红,清潭新村,2室1厅1厨2卫,高楼层 (共5层),64.37㎡,跃层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2021-06-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，南北空气流通采光好，楼栋位置佳视野好,小区地理位置佳，绿化好，小区有健身器材，活动场所；菜场，商场，银行等配套设施齐全，生活方便快捷，交通便利。,两房朝南，户型紧凑无浪费，功能齐全，面积小总价低，适合小孩陪读使用,契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,,,,,,,,,,,,
425,花园南村东区，户型方正，采光无遮挡,85万,11890,钟楼区永红,花园南村东区,2室1厅1厨1卫,高楼层 (共6层),71.49㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2020-06-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，优质户型，低总价，通透格局，楼层好，视野宽..,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 *市 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
426,此房满五唯一，通透格局，房东诚心出售,212万,14040,钟楼区永红,陈渡新苑,4室2厅1厨2卫,低楼层 (共11层),151㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-02-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 15万元 业主自还,未上传房本照片,此房满五唯一，低楼层，通透布局，优质户型,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 *市 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
427,全新精装修 房东承担增值税 双阳台  格局好,210万,17074,钟楼区永红,青建鼎都,3室1厅1厨2卫,低楼层 (共12层),123㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼栋位置佳视野好视野宽阔通透格局  两房朝南,"成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。
小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。",,,,,,,业主卖房改善换房，随时看房，业主随时可以签约，接受贷款，诚心出售。,"此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。
此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。",,,,,,
428,此房满二唯一，楼层好，视野宽阔，房东诚售,183万,12798,钟楼区永红,金谷花园,3室2厅1厨2卫,低楼层 (共9层),143㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-06-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二唯一，采光充足，视野宽阔，交通便利,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
429,百大康桥 视野宽阔 采光充足 交通便利,186万,15763,钟楼区永红,百大康桥,3室2厅1厨2卫,中楼层 (共32层),118㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2020-07-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 8万元 客户偿还,未上传房本照片,此房已经满二，视野宽阔，采光充足，交通便利，配套设施齐全。,小区地理位置好，运河绿化景观，居民素质高。小区 配套：健身器材，小型篮球场，可供小区居民健身休闲。 有地上停车场 地下车库 保安：24小时保安巡逻。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",怀德路商圈、大润发*市、欧尚*市，brt公交车、银行等，生活便利。,,,,,,,,,,,
430,此房满五，带阳光房，两房朝南，设备齐全领包即住,132万,12470,钟楼区永红,金谷花园,3室2厅1厨1卫,高楼层 (共6层),105.86㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2021-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，带阳光房，两房朝南，设备齐全领包即住。,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,,,,,,
