,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
240,此房满户型周正，格局分布合理，公摊小，居住舒适,145万,12426,天宁区兰陵街道,江南公寓,3室2厅1厨1卫,高楼层 (共20层),116.7㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯十户,有,暂无数据,2022-05-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满户型周正，格局分布合理，公摊小，居住舒适,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,商场：兰陵五交化商场(常州)、苏宁电器兰陵店、信特、可的便利店、物美、明都便利医院：常州市眼耳鼻咽喉科医院、永红医院、常州市激光专科医院邮局：兰陵邮政支局、清潭邮政支局银行：农业银行、商1业银行、中国银行、工商银行、交通银行,,,,,,,,,,,
241,棕榈湾精装联排别墅  品牌红木家具全留  业主诚售,880万,35773,武进区兰陵街道,棕榈湾,7室2厅1厨3卫,低楼层 (共3层),246㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2023-01-10,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,户型方正通透，百万精装联排别墅，前后花园，保养好拎包住。,,1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。,,,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,诚心出售，价格可以再谈，欢迎看房，随时恭候本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为主，产权清晰。无任何纠纷.放心考虑,,暂无数据,,,,,,
242,新上 弘阳上城 方正户型  看房方便,136万,18801,天宁区兰陵街道,弘阳上城,2室1厅1厨1卫,低楼层 (共33层),72.34㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-05-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,核 心卖点：楼层好，采光佳，户型方正，看房方便~,,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，，，，,权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
243,此房满五唯一 毛坯四房 中高楼层 有钥匙 看房方便,215万,15249,武进区兰陵街道,外滩壹号花园,4室2厅1厨2卫,高楼层 (共33层),141㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一 毛坯四房 中高楼层 有钥匙 看房方便,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,,"湖塘吾悦易买得1公里，吾悦广场1.1公里，嘉禾电影院1公里，万达广场1.3公里，兰陵欧尚2公里。2；银行；中国建设银行湖塘支行ATM1,7公里，中国农业银行湖塘支行ATM1.6公里，中国银行1.9公里。3；医院；武进中医院1.3公里",小区位于中吴大道与武宜路交叉口，出行交通有201，901，302，220，14.地铁一号线直达南大街，火车站，交通方便,,,,,,,,,,
244,成熟社区，采光佳，户型方正，看房方便~,180万,15860,天宁区兰陵街道,弘阳上城,3室1厅1厨1卫,低楼层 (共33层),113.5㎡,平层,暂无数据,平房,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,成熟社区，采光佳，户型方正，看房方便~。。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
245,优质户型，户型周正，通透格局，实用率大，交通方便。,180万,12677,天宁区兰陵街道,世纪华城二期,4室2厅1厨2卫,低楼层 (共18层),142㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-09-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场……,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%； 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,荆川公园 清潭菜场 华联卖场 新怡卖场，中国银行 建设银行 海王星辰药店 永红医院 激光医院 三鲜美食城等,,,,,,,,,,,
246,新城长岛    精装四房   中间采光佳  诚意出售的,205万,12181,武进区兰陵街道,新城长岛花园,4室2厅1厨2卫,高楼层 (共18层),168.3㎡,复式,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-27,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,"：
楼栋位置佳视野好，通透格局采光好，小区环境干净整洁",1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,1.环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调；2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,,,,,,,
247,采光无遮挡，业主诚心出，价格可小刀,120万,10910,武进区兰陵街道,绿园爱舍南区,3室2厅1厨1卫,高楼层 (共18层),110㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,暂无数据,2021-09-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光无遮挡，业主诚心出，价格可小刀,小区近中吴大道，出行方便，约500米是皇粮浜湿地公园，环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,小区紧靠弘阳生活广场，中吴大道，荆川公园， 湿地公园，江苏理工，学 校 小区门口就有酒店 银行 菜场 生活设施方便,,,,,,,,,,,
248,棕榈湾联排别墅 毛坯 业主诚售 欢迎咨询,615万,24502,武进区兰陵街道,棕榈湾,4室2厅1厨4卫,低楼层 (共3层),251㎡,跃层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"户型方正通透,联排别墅，清水毛坯。",,"1:契税:首套房90平米以下1%,90平米以下1.5%; C 二套房90平米以下1%,90平米以上2%。3套及以上不 论面积统一3%2:增值税:满两年免征。不满两年 5.3%3:个人所得税:除满五唯一免征外,其他均按 全额的1%征收。",,,,"1、户型方正,格局分布合理,空间感好,通透性强,居住舒适2、楼层佳,采光好,南北朝向,采光充足。3、小区环境优美,内有健身器材和娱乐广场,物业服务态度好。","诚心出售,价格可以再谈,欢迎看房,随时恭候本公 司经过层层筛选,房东委托挂牌,诚心出售,价格以房东为主,产权 清晰。无任何纠纷.放心考虑",,,,,,,,
249,楼层好，采光佳，户型方正，看房方便~,215万,19027,天宁区兰陵街道,九洲新世界花苑,3室2厅1厨1卫,中楼层 (共33层),113㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2022-01-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，采光佳，户型方正，看房方便~,,"、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
250,中凉花园东区，简单装修，中间楼层全天采光，诚心出售,92万,11476,武进区兰陵街道,中凉花园东区,2室2厅1厨1卫,中楼层 (共6层),80.17㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-05-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,,,,,,,,,,,
251,此房中间楼层，户型布局合理，视野宽阔，婚装保养好。,186万,15631,天宁区兰陵街道,丰臣南郡,3室2厅1厨2卫,中楼层 (共26层),119㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯四户,有,暂无数据,2022-04-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中间楼层，采光无忧，户型布局合理，视野宽阔，婚装保养好。,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场……,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,,,,,,,
252,江南花园，精装房，诚售，看房方便。,228万,16234,天宁区兰陵街道,江南经典花园,4室1厅1厨2卫,中楼层 (共31层),140.45㎡,平层,暂无数据,塔楼,西,钢混结构,精装,一梯三户,有,暂无数据,2022-02-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,小区生活实施齐全，商场，，菜市场，银行等。 2：小区内有健身器材，可供小区居民使用。 3：小区停车位充足。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,兰陵大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应。,,,,,,,,,,,
253,小高层，采光无遮挡，业主诚心出售,106万,10777,武进区兰陵街道,绿园爱舍南区,2室2厅1厨1卫,低楼层 (共11层),98.36㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-03-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光无遮挡，业主诚心出，价格可小刀,小区介绍： 小区近中吴大道，出行方便，约500米是皇粮浜湿地公园，环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,小区紧靠弘阳生活广场，中吴大道，荆川公园， 湿地公园，江苏理工，学 校 小区门口就有酒店 银行 菜场 生活设施方便,,,,,,,,,,,
254,弘阳广场旁 世纪华城 精装修婚房 随时看房,125万,13593,天宁区兰陵街道,世纪华城二期,2室2厅1厨1卫,高楼层 (共30层),91.96㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2022-05-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房屋楼层好，日照采光充足，视野宽阔，户型方正，精装修。,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,,,,,,,
255,楼层好，采光好，户型好，精装拎包即入,252万,16946,武进区兰陵街道,绿园爱舍南区,5室2厅1厨2卫,高楼层 (共11层),148.71㎡,复式,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,2022-04-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,楼层好，采光好，户型好，精装拎包即入,小区地理位置佳，绿化好，居民素质高，小区有健身器材，活动场所。建有地下停车位，车位充足，二十四小时保安巡逻，菜场，商场，银行等配套设施齐全，生活方便快捷，交通便利,契税：首套房90平米以上1.5%；二套房90平米以上2%。3套及以上不论面积统一3% 2： 个人所得税：除满五唯一免征外，其他均按全额的1%征收。,,,,1、 户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,,,,,,,,,
256,实在房源，环境优美，楼间开阔，居住舒适性高。,75万,11364,天宁区兰陵街道,工人新村南,2室1厅1厨1卫,中楼层 (共6层),66㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,无,暂无数据,2022-05-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房源为本小区实在房源，环境优美，楼间开阔，居住舒适性高。,小区生活设施齐，商场、菜市场、银行等，交通便捷，一楼采光充足，后院可停车,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。",,九洲新世界成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,,,,,,
257,出行方便，交通方便，靠市区，适宜居住，拎包入住,163万,10884,天宁区兰陵街道,浦南南村,4室2厅1厨2卫,低楼层 (共6层),149.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房屋楼层好，日照采光充足，东边户，四个大房间，看房方便。,"小区环境优美,舒适安静适宜居住，出门即有公交、菜场、银行、商场、美食等，人文素养好，邻里乐于助人，相处和谐。","契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,,,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,,,,,,,
258,弘阳广场旁，次新小区，弘阳物业高品质,140万,12816,天宁区兰陵街道,弘阳上城,3室2厅1厨1卫,低楼层 (共32层),109.24㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,弘阳广场旁，次新小区，弘阳物业高品质,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
259,弘阳广场旁，次新小区，弘阳物业高品质,195万,13866,天宁区兰陵街道,弘阳上城,4室2厅1厨1卫,高楼层 (共25层),140.64㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,弘阳广场旁，次新小区，弘阳物业高品质,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
260,弘阳上城 另外有40平不在产证内 看了就知道,220万,15387,天宁区兰陵街道,弘阳上城,5室2厅1厨2卫,低楼层 (共33层),142.98㎡,平层,暂无数据,平房,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,此房楼层特殊，房东敲出去了有40平面积不在产证内的。,南京弘阳创立于1996年，主营业务涵盖商场运营、地产开发、物业服务等，致力于成为“受人尊敬的美好生活创造者”的综合性大型企业集团，在香港主板上市。弘阳上城是2018年交付，共19幢高层住宅，包含板楼、板塔结合、连廊板楼等建筑形式，多元丰富；物业.....,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,弘阳上城配套13万方城市现象级商场---弘阳广场，规划3号、4号双DT 复兴换乘站，隶属天宁区，地处中吴大道长江路交汇处，往北钟楼区芯，往南武进区芯，往东天宁区芯，往西江苏理工，三足鼎立汇聚处...,,,,,,,,,,,
261,弘阳广场旁，次新小区，弘阳物业高品质,130万,14841,天宁区兰陵街道,弘阳上城,3室2厅1厨1卫,低楼层 (共28层),87.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,弘阳广场旁，次新小区，弘阳物业高品质,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
262,楼栋位置佳视野好，视野宽阔，通透格局,218万,19570,天宁区兰陵街道,兰陵锦轩,3室2厅1厨1卫,高楼层 (共18层),111.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 38,未上传房本照片,房屋楼层好，日照采光充足，东边户，三个大房间，看房方便。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。",,1.环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调；2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利；3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
263,中间楼层，优质户型，采光充足，通透明亮,150万,12821,天宁区兰陵街道,迎宾秀园,3室2厅1厨1卫,中楼层 (共27层),117㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售，采光充足，空气流通，宽敞舒适,,1，契税；首套房，90平米以下成交价的1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2% 2，增值税；产证满两年免增值税，未满两年征收5.6% 3，个税；产证满五年且只有一套房的，免收个税，未满五年成交价的1%,,小区环境优美，居民素质高，配套齐全，交通便利，小区物业安保负责任，有公园，医院，商场等等,,,此房业主诚心出售，产权明晰，证件齐全，看房方便，看中可立签！,,,,,,,,
264,九州新世界君玺精装三房二厅高层采光好户型方正,275万,28122,天宁区兰陵街道,九州新世界君玺,3室1厅1厨1卫,高楼层 (共32层),97.79㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,满二，地暖，中空调央，精装保养好，家电家具齐全。诚意出售。,,,,到九洲新世界电影院50米，带兰陵农贸集市50米，到吾悦国际500米，到兰园300米。,到中吴大道500米，到长江路2000米，上龙江高架3000米。到地铁一号线站口300米。,三房二厅一卫，户型方正，开发商精装交付，高层采光佳，地暖，中空调央。,,,,,,,,,
265,九洲新世界君玺精装4房2卫 全天采光 房东诚售随时看房,430万,28667,天宁区兰陵街道,九州新世界君玺,4室2厅1厨2卫,高楼层 (共32层),150㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-05-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,九洲新世界君玺精装4房2卫 全天采光 房东诚售随时看房,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
266,弘阳燕澜湾 毛坯 四开间朝南 户型方正，看房方便,250万,17242,天宁区兰陵街道,弘阳燕澜湾,4室2厅1厨2卫,低楼层 (共34层),145㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,弘阳燕澜湾 毛坯 四开间朝南 户型方正，看房方便,1.小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，小型篮球场，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻。,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
267,弘阳上城四房两卫前排户型方正有钥匙随时看房,199万,14150,天宁区兰陵街道,弘阳上城,4室2厅1厨2卫,低楼层 (共25层),140.64㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-10-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,弘阳广场旁，次新小区，弘阳物业高品质,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
268,棕榈湾 2室1厅 南,108万,12139,武进区兰陵街道,棕榈湾,2室1厅1厨1卫,低楼层 (共18层),88.97㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯六户,有,暂无数据,2022-06-14,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,,,,,,,,,,,,,,,,
269,九洲君玺旁 新世界花苑边户 户型方正 楼层佳采光好,205万,14667,天宁区兰陵街道,九洲新世界花苑,3室2厅1厨2卫,中楼层 (共32层),139.77㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,三梯三户,有,暂无数据,2022-10-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,九洲大润发，新世界，兰陵大润发，兰园，各大银行，各类小吃美食一应。,,通透性强，居住舒适，每个房间都有窗户，楼层佳，朝向南北，视野开阔，采光透亮。,,,,,,,,,
270,生活便利，中上楼层，格局分布合理，户型方正，,275万,15537,天宁区兰陵街道,弘阳燕澜湾,5室2厅1厨3卫,高楼层 (共33层),177㎡,平层,暂无数据,塔楼,南 北,框架结构,毛坯,两梯三户,有,暂无数据,2022-10-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,生活便利，中上楼层，格局分布合理，户型方正，,小区全天安保，环境优美，绿化很好，开发商 常州弘阳广场置业有限公司 物业公司；弘阳物业,"税费分析 1、契税：首套房，90以下成交价的1％，90以上成交价的1.5％, 二套房90以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,弘阳广场，上海联华，万达影院，有建设银行，工商银行，农业银行，九洲新世界，常州第三人民医院，武进中医院。,,,,,,,,,,,
271,华海花园，精装修，采光好，无遮挡，,168.8万,16216,天宁区兰陵街道,华海花园,3室2厅1厨1卫,低楼层 (共32层),104.1㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-03-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,华海花园，东边户两房朝南一房朝北，精装修，满5唯一,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,此小区在市区地段，西边有九州新世界花园 君玺，时尚莱迪，大型菜市场，东边有地铁站，同济，正衡，北边1200多米有两家医院,过同安桥就是市区 西边就是九洲新世界配套区 东有电脑城 BRT沿线 地铁一号线500米,,,,,,,,,,
