,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,税费解析,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,户型介绍,交通出行,用水类型,用电类型,售房详情,权属抵押,装修描述
31,"此房满二有钥匙采光好,出门就有公园",96万,10435,武进区雪堰镇,望湖名门,3室1厅1厨1卫,低楼层 (共11层),92㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
32,"此房满二有钥匙采光好,出门就有公园",155万,12683,武进区雪堰镇,悦欣庭院,3室2厅1厨1卫,高楼层 (共11层),122.22㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
33,小区环境优雅，配套成熟，交通便利，绿化面积覆盖高.,145万,11329,武进区雪堰镇,旷达福源二区,3室2厅1厨1卫,中楼层 (共18层),128㎡,暂无数据,南,未知结构,毛坯,,暂无数据,2023-11-09,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅.配套成熟，交通便利.电梯房绿化面积覆盖高,小区带有电梯。家里有老人小孩出入方便小区人车分流环境好。临街。距离医院近。有菜市场公园小区首付不高，贷款方式不限.适合首付不多的小两口,,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有健身广场散步跑道,小区楼层好，视野宽阔。采光充足.小区配套设施齐全，交通便利户型方正,,,,,,
34,太湖湾度假区， 背山面湖，  天然氧吧，风景优雅,230万,15240,武进区雪堰镇,太湖湾度假村,3室2厅1厨2卫,中楼层 (共4层),150.92㎡,暂无数据,南,钢混结构,精装,,暂无数据,2022-07-16,商品房,2008-11-20,普通住宅,暂无数据,共有,有抵押,已上传房本照片,背山面湖 视野佳 天然氧吧 四季宜居,适合任何人群，【景区】动漫嬉戏谷、灵山大佛、中华孝道园、拈花湾均，抵达影视基地三国城、水浒城。,【商 业】自带7500方商圈，太滆美食街，太滆菜场，万达，太湖旅游度假区，自带17个主题特色品巷。 【银行】太滆镇农商行 中国工商银行 中国农业银行 中国建设银行 【医院】 潘家医院 雪堰医院,,暂无数据,塔楼,暂无数据,无,,,四 周交通畅达，常州市区至太湖湾青杨快速通道，苏锡常南部湖底隧道开通，太湖湾旅游度假区的腹 地，无锡常州宜兴三地几何中 心，无锡梅园轻轨S2号延伸线抵达宜兴,,,,,
35,带院子下叠 采光好 南北通透 有钥匙看房方便,198万,16103,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),122.96㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-03-08,商品房,2021-03-11,别墅,满两年,共有,无抵押,已上传房本照片,此房南北通透的格局，下叠带小院子，视野好，采光佳！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析，此房面积大于90平方，所以契税缴纳按名下房产套数定   若首套房契税为成交价的1.5％,。二套房成交价的2%。三套及以上的成交价的3%     2、增值税：产证满2年免收增值税，未满2年征收5.6％。   个税需缴纳成交价的1%",,,,,,,,,,,,
36,"此房满二有钥匙采光好,出门就有公园",156万,12188,武进区雪堰镇,雪湖家园,3室2厅1厨2卫,中楼层 (共11层),128㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-09-19,商品房,2017-09-14,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
37,"此房满五有钥匙采光好,出门就有公园",658万,14424,武进区雪堰镇,九洲红墅岭,7室3厅1厨3卫,低楼层 (共3层),456.21㎡,暂无数据,南 北,未知结构,毛坯,双拼,暂无数据,2023-07-17,商品房,2016-05-30,别墅,暂无数据,共有,无抵押,已上传房本照片,"此房满五有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,,,,,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
38,太湖庄园临湖独栋 北入户南花园 大花园  内外双湖,1200万,24168,武进区雪堰镇,太湖庄园,5室3厅1厨6卫,低楼层 (共2层),496.54㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-03-29,商品房,2020-04-21,别墅,暂无数据,共有,有抵押,已上传房本照片,此房南北通透格局，视野宽阔，采光好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
39,太湖庄园毛坯临湖双拼 南北通透 采光好 看房方便,550万,25228,武进区雪堰镇,太湖庄园,5室2厅1厨3卫,低楼层 (共2层),218.02㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-09-01,商品房,2018-07-29,别墅,暂无数据,非共有,有抵押,已上传房本照片,此房南北通透，临湖采光好 。。。。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
40,太湖庄园联排别墅 看房方便 南北通透 采光佳,320万,10206,武进区雪堰镇,太湖庄园,5室3厅1厨4卫,低楼层 (共3层),313.55㎡,暂无数据,南 北,钢混结构,毛坯,暂无数据,暂无数据,2023-09-28,商品房,2017-02-22,别墅,暂无数据,共有,有抵押,已上传房本照片,此房满五唯一 ，南北通透，采光好，房东诚心出售，价可谈！！！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
41,太湖庄园双拼东边套 南北通透 采光好 一依山傍水,550万,25228,武进区雪堰镇,太湖庄园,5室2厅1厨4卫,低楼层 (共2层),218.02㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-10-10,商品房,2020-09-15,别墅,暂无数据,非共有,有抵押,已上传房本照片,此房双拼东边套，南北通透，小区环境好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
42,临湖独栋 大院子 挑高客厅 内外双湖 游艇入户,1800万,25263,武进区雪堰镇,太湖庄园,7室5厅1厨7卫,低楼层 (共2层),712.52㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-03-25,商品房,2020-10-08,别墅,满两年,非共有,无抵押,已上传房本照片,此房为独栋别墅 临湖 大花园 小区环境好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
43,太湖湾度假村，天然氧吧，环境宜人，适合全家居住,138万,9995,武进区雪堰镇,太湖湾度假村,3室2厅1厨2卫,中楼层 (共4层),138.07㎡,暂无数据,南,未知结构,毛坯,,暂无数据,2022-06-30,商品房,2020-04-16,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,背山面湖 视野佳 天然氧吧 四季宜居,适合任何人群，【景区】动漫嬉戏谷、灵山大佛、中华孝道园、拈花湾均，抵达影视基地三国城、水浒城。,【商 业】自带7500方商圈，太滆美食街，太滆菜场，万达，太湖旅游度假区，自带17个主题特色品巷。 【银行】太滆镇农商行 中国工商银行 中国农业银行 中国建设银行 【医院】 潘家医院 雪堰医院,,暂无数据,暂无数据,暂无数据,暂无数据,,,四 周交通畅达，常州市区至太湖湾青杨快速通道，苏锡常南部湖底隧道开通，太湖湾旅游度假区的腹 地，无锡常州宜兴三地几何中 心，无锡梅园轻轨S2号延伸线抵达宜兴,,,,,
44,诚售 看房方便 太湖庄园毛坯下叠 南北通透 采光佳,200万,16058,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),124.55㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-06-29,商品房,2019-04-25,别墅,满两年,非共有,无抵押,已上传房本照片,此房南北通透，毛坯下叠，房东诚售，位置佳。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
45,太湖庄园临湖双拼别墅 西边户 南北通透 采光好,650万,29814,武进区雪堰镇,太湖庄园,4室3厅1厨4卫,低楼层 (共2层),218.02㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-07-17,商品房,2019-07-10,别墅,暂无数据,共有,无抵押,已上传房本照片,此房南北通透，格局好，采光佳，临湖，湖面还不错。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,适合度假养老居住使用，型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,"税费分析，此房面积大于90平方，所以契税缴纳按名下房产套数定 若首套房契税为成交价的1.5％,。二套房成交价的2%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%",,,,,,,,,,,,
46,湖景房   房东诚心出售   价格可以谈,1160万,31272,武进区雪堰镇,太湖庄园,5室3厅1厨5卫,低楼层 (共3层),370.95㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-01-18,商品房,2017-07-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,适合度假养老居住使用，户型方正采光好有院子 出门可沿太湖漫步,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
47,下叠带院子 南北通透 有钥匙 看房方便,190万,15255,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),124.55㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-03-08,商品房,2018-06-20,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房南北通透的格局，下叠带院子，视野好，采光佳！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析，契税缴纳按名下房产套数定，此房面积大于90平方， 若首套房契税为成交价的1.5％,。二套房成交价的2%。三套及以上的成交价的3%     2、增值税：产证满2年免收增值税，未满2年征收5.6％。   个税需缴纳成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
48,太湖庄园下叠 南北院子 房东诚心出售 价可谈,210万,16031,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),131㎡,暂无数据,南 北,框架结构,毛坯,暂无数据,暂无数据,2023-05-24,商品房,2020-05-05,别墅,满两年,共有,无抵押,已上传房本照片,此房满二，有钥匙，采光好，南北通透，院子大,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,适合度假养老居住使用，型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,"税费分析，此房面积大于90平方，所以契税缴纳按名下房产套数定 若首套房契税为成交价的1.5％,。二套房成交价的2%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%",,,,,,,,,,,,
49,太湖庄园法式联排 下沉式花园 位置佳 有钥匙看房方便,400万,21169,武进区雪堰镇,太湖庄园,5室2厅1厨3卫,低楼层 (共3层),188.96㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-06-22,商品房,2020-05-06,别墅,暂无数据,非共有,无抵押,已上传房本照片,此房南北通透，采光好，房东诚心出售，价可谈！！！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
50,悦欣庭院 3室2厅 南,125万,10870,武进区雪堰镇,悦欣庭院,3室2厅1厨1卫,中楼层 (共5层),115㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
51,太湖庄园三面大院子下叠 南北通透 看房方便,250万,20000,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),125㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-10-31,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,此房下叠边套，大院子，三面院子。南北通透,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
52,雪湖新苑 满五唯一 房东诚心出售,100万,11821,武进区雪堰镇,雪湖新苑,2室1厅1厨1卫,中楼层 (共18层),84.6㎡,暂无数据,南,钢混结构,精装,,暂无数据,2021-10-06,商品房,2013-06-14,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好，视野好，雪湖新苑 满五唯一 房东诚心出售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,暂无数据,板塔结合,两梯四户,有,小区环境优美，配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐,"方正通透，户型正气，视野宽阔,采光无遮挡，配套设施齐全..。",,,,,,
53,旷达太湖花园 1室1厅 东南,69.8万,12218,武进区雪堰镇,旷达太湖花园,1室1厅1厨1卫,中楼层 (共5层),57.13㎡,暂无数据,东南,钢混结构,其他,,暂无数据,2023-11-14,商品房,2020-05-17,普通住宅,暂无数据,非共有,暂无数据,已上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
54,小区环境优雅，配套成熟，交通便利，居住舒适。,145万,12394,武进区雪堰镇,望湖怡景,3室2厅1厨2卫,中楼层 (共18层),117㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,,"首套房契税是1.5%,二套是2%,三套及以上是3%如不满两年增加5.3%的增值税",暂无数据,板塔结合,暂无数据,暂无数据,小区生活设施齐全，菜市场、银行、，交通便捷；2、小区内有健身器材，小孩游乐场，可供小区居民使用；3、小区内停车位充足，3、小区内24小时保安巡逻,,,,,业主人非 常友好、热情，邻里关系相处比较融洽，很有诚意出售。欢迎看房，随时恭候。,,
55,太湖庄园下叠 带院子 南北通透 看房方便 价可谈,225万,18336,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),122.71㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-04-28,商品房,2022-08-11,别墅,未满两年,共有,有抵押,已上传房本照片,此房南北通透，采光好，带院子。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
56,太湖庄园 2室2厅 南 北,141万,16297,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,高楼层 (共11层),86.52㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-07-12,商品房,2021-07-13,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
57,太湖庄园精装房 看房方便 有钥匙 空气清新 依山傍水,78万,13228,武进区雪堰镇,太湖庄园,1室1厅1厨1卫,中楼层 (共8层),58.97㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-08-08,商品房,2017-04-13,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,适合度假养老居住使用，户型方正采光好视野好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯住房，免收个税。满五和唯一两个条件缺一不可。",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
58,豪-装 房东自住 全屋订制价可谈 看房提前约 太湖庄园,98万,11465,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,低楼层 (共11层),85.48㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-03-30,商品房,2021-06-17,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房房东自住的，装修新，装修好,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
59,"此房满五有钥匙采光好,出门就有公园",130万,12595,武进区雪堰镇,太湖香树花园,3室2厅1厨1卫,低楼层 (共3层),103.22㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-07-12,商品房,2017-09-05,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房满五有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
60,此房满二，楼层采光好，出门就是公园南北通风。,175万,12682,武进区雪堰镇,旷达福源二区,4室2厅1厨2卫,低楼层 (共9层),138㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二，楼层采光好，出门就是公园南北通风。,,小区生活设施，商场，菜市场，银行，交通便捷，小区有健身器材，小型气场，可居民使用,满五唯一，90个平方以下税费一个点，满5唯一90个平方以上，税费1.5。,暂无数据,暂无数据,暂无数据,暂无数据,小区生活设施，商场，菜市场，银行，交通便捷，小区有健身器材，小型气场，可居民使用,,,,,,,
61,望湖名门 4室2厅 南,135万,15017,武进区雪堰镇,望湖名门,4室2厅1厨2卫,高楼层 (共12层),89.9㎡,暂无数据,南,钢混结构,精装,,暂无数据,2023-06-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,板塔结合,一梯三户,有,,,,,,,,
62,楼层好，视野好， 房东诚心出售,165万,13750,武进区雪堰镇,雪湖新苑,3室2厅1厨2卫,中楼层 (共18层),120㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-05-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，视野好，雪湖新苑 满五唯一 房东诚心出售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,暂无数据,板塔结合,两梯四户,有,小区环境优美，配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐,"方正通透，户型正气，视野宽阔,采光无遮挡，配套设施齐全..。",,,,,,
63,房东诚心出售，大开间，采光好，交通便利,140万,11291,武进区雪堰镇,阳光花园,3室1厅1厨2卫,低楼层 (共6层),124㎡,暂无数据,南 北,钢混结构,其他,,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,房东诚心出售，大开间，采光好，交通便利,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,板塔结合,暂无数据,暂无数据,1.环境优雅，低密度社区2.绿化优美，感受大自然带来的美丽3.儿童游乐设施齐，给孩子快乐的童年，减少带孩子外出游玩带来的麻烦4.交通便利，四通八达，出行更加方便，节省时间5.配套医院近，适合几代人的家庭,,,,,售房详情： 售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,
64,太湖湾度假村依山傍水环境优美适合居住,958万,17644,武进区雪堰镇,太湖湾度假村,5室3厅1厨4卫,低楼层 (共4层),542.97㎡,暂无数据,南,未知结构,毛坯,独栋,暂无数据,2020-12-04,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,背山面湖 视野*佳 天然氧吧  居住舒适,适合任何人群居住，【景区】动漫嬉戏谷、灵山大佛、中华孝道园、拈花湾均，抵达影视基地三国城、水浒城。,【商 业】自带7500方商圈，太滆美食街，太滆菜场，万达，太湖旅游度假区，自带17个主题特色品巷。 【银行】太滆镇农商行 中国工商银行 中国农业银行 中国建设银行 【医院】 潘家医院 雪堰医院,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,四 周交通畅达，苏锡常南部湖底隧道开通在即，太湖湾旅游度假区的腹 地，无锡常州宜兴三地几何中 心，无锡梅园轻轨S2号延伸线抵达宜兴,,,,,
65,观山湖景叠加别墅  房东诚心出售 看中价格可谈,180万,14899,武进区雪堰镇,太湖庄园,3室2厅1厨2卫,中楼层 (共4层),120.82㎡,暂无数据,北 南,未知结构,毛坯,,暂无数据,2023-07-15,商品房,2023-03-05,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房观湖靠山 有南北大露台 可做空中花园,合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,契税:1.首套90平以下1%2.首套90平以上1.5% 3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税:产权满两年免征产权不满两年征收比例为5.3%个人所得税:产证满五唯一免征其他统一1%,暂无数据,暂无数据,暂无数据,暂无数据,,户型周正，格局分布合理，空间感好，通透性强，居住舒适2.南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁。内有健身器材和小型娱乐设施。物业服务态度好。,,,,,,
