,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,周边配套,税费解析,户型介绍,售房详情,装修描述,交通出行,房源核验码
30,荣盛御府洋房 三开间朝南  飞机户型采光好  配套齐全,195万,15477,武进区南夏墅街道,荣盛御府,4室2厅1厨2卫,中楼层 (共11层),126㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,"：
房东诚心出售，精装，户型方正，通透性好，采光无遮挡",小区环境优雅.小区配套齐全.小区人车分流.小区内部有游乐场.适合老人带小孩玩，自带配套,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
31,诚心出售 中梁前黄壹号院精装3房2卫 楼层好 采光无忧,168万,14359,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨2卫,高楼层 (共18层),117㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满二 楼层好 采光无忧无遮挡 房东诚心出售价格..,小区环境优雅.小区配套齐全.小区人车分流.小区内部有游乐场.适合老人带小孩玩，自带配套,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,、户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
32,诚意出售 中梁前黄壹号院精装3房 采光无遮挡 位置好,140万,14584,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨1卫,低楼层 (共18层),96㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装修 南北向 自住保养新 楼层好 采光佳 地段好。,小区生活实施齐全，商场，菜市场，银行等。小区停车位充足，建有地面临时停车位以及底下停车位。小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权 额征收5.3% 个人所得税：不满5年或不唯一征1%,,业主现在卖房改善换房，房子已经跟我看好，故诚心出售， 随时可以看房，业主随时可以签约，价格可商谈,,,
33,诚心出售 荣盛御府洋房3房 户型方正 采光无忧 位置好,160万,13299,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共11层),120.31㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-08-31,商品房,2022-11-21,普通住宅,未满两年,共有,有抵押 80万元,已上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 配套齐全,小区生活设施齐商场菜市场银行等交通便捷2小区内有健身器材小型篮球场可供小区居民使用3小区内停车位充足建有地下停车场人车分流 地上24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
34,地铁口 三盛璞悦湾精装3房2卫 楼层好 采光无忧,110万,12360,武进区南夏墅街道,三盛璞悦湾,3室2厅1厨2卫,中楼层 (共17层),89㎡,平层,暂无数据,板楼,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型方正 三房朝南加客厅朝南 中高楼层采光好 配套齐全,小区生活设施齐商场菜市场银行等交通便捷2小区内有健身器材小型篮球场可供小区居民使用3小区内停车位充足建有地下停车场人车分流 地上24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
35,上悦城房屋格局好 布局合理，房东诚意出售,112万,13855,武进区南夏墅街道,上悦城,3室2厅1厨1卫,中楼层 (共20层),80.84㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-20,商品房,2023-06-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,房屋格局好 布局合理，房东诚意出售,1、小区生活设施齐，商场 菜市场 银行等 交通便捷 2、小区内有健身器材 ，可供小区居民使用 3、小区车位充足 建有地上和地下停车场 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适 2、南北朝向，视野开阔，采光通透 3、小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
36,前黄壹号院 洋房户型方正 房东急售 随时可看房,138万,12000,武进区南夏墅街道,中梁前黄壹号院,4室2厅1厨2卫,高楼层 (共10层),115㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区人车分流， 随时可签，看房方便，居住舒适,1.小区生活设施齐全，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型方正，整体布局合理。空间感好。2.居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。3.小区环境优美。绿化面积高。干净整洁。4.内有健身器材和娱乐广场。5.物业服务态度好,,,,
37,企业力荐 南夏墅地铁口 嘉宏澜爵精装三房 可看房,150万,15120,武进区南夏墅街道,嘉宏蓝爵,3室2厅1厨2卫,低楼层 (共15层),99.21㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,小区人车分流，精装修边户 随时可签，看房方便，居住舒适。,1.小区生活设施齐全，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型方正，整体布局合理。空间感好。2.居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。3.小区环境优美。绿化面积高。干净整洁。4.内有健身器材和娱乐广场。5.物业服务态度好。,,,,
38,南湖家苑户型方正全朝南明亮通透视野好 设施配套齐全,85万,9697,武进区南夏墅街道,南湖家苑二期,2室2厅1厨1卫,高楼层 (共18层),87.66㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2024-02-14,商品房,2014-12-02,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
39,南湖家苑二期3-2-1-2 120.42m² 120 万,120万,9966,武进区南夏墅街道,南湖家苑二期,3室2厅1厨2卫,中楼层 (共18层),120.42㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-02-27,商品房,2014-07-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层佳，南北朝向，视野开阔，采光通透 ，优质房源,小区内有健身器材，可供小区居民使用 小区内停车位充足，建有地下停车场，绿化到位。,,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔,,,,
40,高新区南夏墅嘉宏蓝爵三房两卫采光充足房东诚售,160万,16162,武进区南夏墅街道,嘉宏蓝爵,3室2厅1厨2卫,中楼层 (共17层),99㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-12-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,采光佳，环境好，靠公园，楼层好，户型不错 随时可看,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
41,企业力荐 南夏墅地铁口精装洋房 拎包入住 有车位可谈,125万,13848,武进区南夏墅街道,荣盛御府,3室2厅1厨1卫,高楼层 (共16层),90.27㎡,平层,暂无数据,暂无数据,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-12-30,商品房,2021-06-15,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,小区人车分流，精装修边户 随时可签，看房方便，居住舒适,1.小区生活设施齐全，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻。,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型方正，整体布局合理。空间感好。2.居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。3.小区环境优美。绿化面积高。干净整洁。4.内有健身器材和娱乐广场。5.物业服务态度好,,,,
42,诚心出售 新城都荟精装3房 双阳台 户型方正 采光无忧,150万,12644,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共20层),118.64㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-01-10,商品房,2020-06-22,普通住宅,暂无数据,非共有,有抵押 35万元,已上传房本照片,采光佳，环境好，靠公园，楼层好，户型不错 随时可看,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
43,诚心出售 前黄壹号院3房简装 户型好 楼层好 采光无忧,103万,10472,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨1卫,高楼层 (共18层),98.36㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-12-04,商品房,2021-04-26,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,前黄壹号院三房 三朝南户型 双阳台 全天采光 视野开阔 交通便利,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,1，首套 90平以下1% 。2，首套 90平以上1.5% 。3，二套90平以下1% 。4，二套90平以上2% 。5，三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全,,,,
44,荣盛御府户型方正全朝南明亮通透视野好 设施配套齐全,134万,13476,武进区南夏墅街道,荣盛御府,3室2厅1厨1卫,中楼层 (共11层),99.44㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-04,商品房,2021-05-24,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正全朝南明亮通透视野好 设施配套齐全,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,,,,
45,地铁1号线旁 三盛璞悦湾精装修4房 中间楼层 边户,180万,15335,武进区南夏墅街道,三盛璞悦湾,4室2厅1厨2卫,中楼层 (共13层),117.38㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-21,商品房,2023-12-08,普通住宅,未满两年,非共有,有抵押,已上传房本照片,地铁1号线旁 三盛璞悦湾精装修4房 中间楼层 边户,小区生活实施齐全，商场，菜市场，银户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔行等。2:小区内有健身器材，可供小区居民使用。3:小区停车位充足，建有地面临时停车位,,契税:A:首套 90平米以下1%B:首套90平米以上1.5%C;二套90平米以下1%D:二套90平米以上2%E:三套3%2.满2年免征，不满2年全额征收5.35%3.个人 :不满5年征1%满5年且房东名下唯一住房可免,户型周正，格局分布合理，空间感好，通透性强，居住舒适: 2、楼层佳，朝向南北，视野开阔,,,,
46,地铁口旁 三盛璞悦湾 交通便利 生活设施完善 采光好,130万,14675,武进区南夏墅街道,三盛璞悦湾,3室2厅1厨2卫,高楼层 (共12层),88.59㎡,平层,暂无数据,板楼,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-02-12,商品房,2023-12-08,普通住宅,未满两年,共有,有抵押,已上传房本照片,地铁口旁 三盛璞悦湾 交通便利 生活设施完善 采光好,小区生活设施齐商场菜市场银行等交通便捷2小区内有健身器材小型篮球场可供小区居民使用3小区内停车位充足建有地下停车场人车分流 地上24小时保安巡逻,,1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透 3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好,,,,
47,南夏墅地铁口旁 三盛璞悦湾  户型方正含车位随时可看,118万,13259,武进区南夏墅街道,三盛璞悦湾,3室2厅1厨2卫,中楼层 (共17层),89㎡,平层,暂无数据,板楼,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2024-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正，看房方便，随时可以看房.,1：户型方正，格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度较好,1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,,,
48,新城都荟 3室2厅 南 北,160万,13446,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,高楼层 (共19层),119㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2024-03-11,商品房,2020-06-15,普通住宅,暂无数据,共有,有抵押 公积金贷款,已上传房本照片,,,,,,,,,122488189509
49,前黄壹号院 户型方正 三开间朝南 双阳台 随时可看发,115万,11860,武进区南夏墅街道,中梁前黄壹号院,3室2厅1厨1卫,高楼层 (共18层),96.97㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,暂无数据,暂无数据,暂无数据,2023-11-30,商品房,2021-04-21,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,采光好 楼层佳 物业优 可看房,1.小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻,,契税：1.首套90平以下1%2.首套90平以上1.5%3.二套90平以下1%4.二套90平以上2%5.三套都是3%增值税：产权满两年免征 产权不满两年征收比例为5.3%个人所得税：产证满五唯一免征 其他统一1%,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适2.楼层佳，南北朝向，视野开阔，采光通透3.小区环境优美，绿化覆盖面积多，干净整洁，内有健身器材和小型娱乐设施。物业服务态度好。,,,,
50,急售 南夏墅品质小区 新城都荟 随时看房,154万,12904,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,低楼层 (共11层),119.35㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2023-05-10,商品房,2020-06-15,普通住宅,暂无数据,共有,有抵押 15万元,已上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；4、小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,
51,荣盛御府洋房 房东诚心出售 户型方正 随时可看房,165万,13039,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共11层),126.55㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
52,诚心出售 南夏墅地铁口荣盛御府毛坯洋房 有钥匙可看房,143万,12435,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共11层),115㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-13,商品房,2021-06-27,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
53,企业力荐 南夏墅地铁口 荣盛御府毛坯洋房 楼层好,152万,12537,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共9层),121.25㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-24,商品房,2021-05-10,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
54,诚心出售 南夏墅地铁口荣盛御府毛坯三房双阳台可看房,130万,11205,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,低楼层 (共16层),116.02㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-07,商品房,2021-05-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
55,诚心出售 新城都荟毛坯3房 品质小区 户型方正 楼层好,142万,11838,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,中楼层 (共11层),119.96㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2023-08-07,商品房,2020-06-15,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,房东诚心出售，户型方正，采光无遮挡，通透性好，好楼层,1、小区生活设施齐，商场、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,契税首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%； 增值税：满2年免征，不满2年成交额征收5.3%； 个税：不满5年征收1%,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，朝向南北，视野开阔，采光透亮；,,,,
56,地铁口新小区品质洋房社区视野宽阔配套齐全交通便利,172万,14828,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,高楼层 (共16层),116㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-09-24,商品房,2021-04-19,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,地铁口新小区，品质洋房社区，视野宽阔，配套齐全，交通便利,房子是2020年年底才交付的2023年5月份满二，小区环境优美，人车分流，楼间距大，小区是洋房和小高层为主，小区南门自带商铺，可以满足日常需求,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3%增值税：满两年免征 不满2年权.额征收5.6%个人所得税：不满5年征1%,,房子2023年四五月份满二，业主现诚心出售，证件齐，欢迎看房，随时恭候,,小区内有停车场，车位充足，建有地下停车场，人车分流，小区出来就是地铁一号线，交通方便,
57,"新城都荟房型好,格局好,采光充足，交通便利",143万,12017,武进区南夏墅街道,新城都荟,3室2厅1厨2卫,中楼层 (共20层),119㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,暂无数据,2022-05-09,商品房,2020-06-17,普通住宅,暂无数据,共有,有抵押 80万元,已上传房本照片,"户型好,格局好,采光充足，交通便利","1:小区生活实施齐全，商场,菜市场,银行等。2:小区内有健身器材,小型篮球 场，可供小区居民使用。3 :小区停车位充足,建有地面临时停车位以及底下停车 位。4 :小区内24小时保安巡逻。",,"1契税:首套房成交价的1.5% ,二套房成交价的2% ,三套房成交价的3%。增值税:满2年免征,不满2年成交额征收5.6%。个税:不满5年征收1%","1:户型方正,格局分布合理,空间感好,通透性强,居住舒适。2:楼层佳,朝向南北,视野开阔，采光充沛。3:小区环境优美,绿化覆盖面积高,干净整洁,内有建设器材和娱乐场所,物业态度较好",,,,
58,荣盛御府电梯洋房，近地铁，中间楼层，品质小区环境优,155万,12810,武进区南夏墅街道,荣盛御府,3室2厅1厨2卫,中楼层 (共11层),121㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-25,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正 通风性佳 有钥匙 随时都可以看房,小区比较新，人车分流，24保安巡逻，配备管家式服务，小区环境较好小区旁配套齐全,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,户型动静分离，卧室独立分开 安静私密性更高。客厅卧室都有大窗户，采光面更高,,,,
59,诚心出售 南夏墅地铁口荣盛御府毛坯洋房 可随时看房,175万,13686,武进区南夏墅街道,荣盛御府,4室2厅1厨2卫,中楼层 (共11层),127.87㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-27,商品房,2021-05-13,普通住宅,暂无数据,共有,有抵押 25万元 邮政储蓄银行,已上传房本照片,此房户型方正，房间都很大，光线充足 ，房东诚心出售,1、小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%、,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,
